Country:  Name of this Country.,"Population:  Given current trends, this figure represents a projection of this country's population by mid AD 2015.",Adult rate (%):  Adults (age 15 and over) as percentage of this country's total population. Primary source: United Nations 2015.,Birth rate (%) per year:  Birth rate for this country as a percentage per year. Source material is expressed as cases per 1000.  Primary source: United Nations 2015.,Death rate (%) per year:  Death rate for this country as a percentage per year. Source material is expressed as cases per 1000.  Primary source: United Nations 2015.,"Infant mortality (n/1000) per year:  Infant mortality, per 1,000 live births in the country. Primary source: United Nations 2015.","Literacy rate (%):  The ability to read and write, as measured by the percentage of the adult population (over age 15) who can read and write their own names and a simple statement. A higher level of competence is required for functional literacy. Primary source: United Nations 2007.","Economy - GDP per capita ($):  Gross Domestic Product per year per person, expressed in $US as purchasing power parity. The GDP is the total value of the goods and services produced in a nation during a specific period (usually a year), and also comprising the total of expenditures by consumers and government plus gross private investment.  Therefore, the 'Gross Domestic Product p.a. per capita' represents the national income per person per year. Primary source: United Nations 2008 (HDR 2007/2008).",Internet user rate (%):  Internet users as a percentage of population. Primary source: United Nations 2006.,Water access rate (%):  Percentage of the country's population with access to safe water. Primary source: United Nations 2008.,HIV adults rate (n/1000):  Number of adults with HIV per thousand of the country's population. Primary source: United Nations 2008.,"Number of Christians:  The total number of Christians in this country, AD 2015.","Number of Agnostics:  Number of  agnostic persons in this country's population. These are persons professing no religion, or professing unbelief or non-belief, non-believers, agnostics, freethinkers, liberal thinkers, non-religious humanists, indifference to both religion and atheism, apathetic, opposed on principle neither to religion nor to atheism; sometimes termed secularists or materialists; also post-Christian, dechristianized or de-religionized populations.","Number of Atheists:  Number of Atheists in this country's population. Atheists are persons professing atheism, skepticism, impiety, disbelief or irreligion, or Marxist-Leninist Communism regarded as a political faith, or other quasi-religions, and who abstain from religious activities and have severed all religious affiliation; and others opposed, hostile or militantly opposed to all religion (anti-religious); dialectical materialists, militant non-believers, anti-religious humanists, skeptics.","Number of Buddhists:  Number of Buddhists in this country's population.  Followers of the Buddha, including: (a) Mahayana (Greater Vehicle) or Northern Buddhism; (b) Theravada (Teaching of the Elders) or Southern Buddhism, stigmatized by Mahayanists as Hinayana (Lesser Vehicle, i.e. available to fewer people), actually the older, purer form of Buddhism; (c) Vajrayana, Mantrayana, Guhyamantrayana, or Tantrayana (Esoteric Vehicle), known as Tantrism, Shingon or Lamaism; and (d) traditional Buddhist sects, but excluding neo-Buddhist new religions or religious movements.","Number of Hindus:  Number of Hindus in this country's population.  Followers of the main Hindu traditions: (a) Vaishnavites (Vishnaivites) (qv) numbering 70% of all Hindus; (b) Saivites (qv) numbering 25% mostly in South India; (c) Saktists (qv) or other sects (3%); (d) neo-Hindu movements and modern sects arising out of Hinduism, about 1.5%; and (e) Arya Samaj and other reformist movements, 0.5% (Brahmo Samaj, Prarthana Samaj, Swami-Narayanis, Ramakrishna Mission, but excluding Jains and Sikhs).",Number of Jews:  Number of Jews in this country's population.,Number of Muslims:  Number of Muslims in this country's population.
Taiwan,23427785,0.860748978,0.008634,0.007405,3.498,0.9730034,28552,0.5936,1,0,1434908,1000598,43809,6201102,2343,189,90804
Cameroon,23393129,0.574772704,0.03519,0.010595,65.32,0.6840014,2299,0.0223,0.7,51,13816622,139685,46361,421,0,61,4716558
Angola,22819926,0.530090764,0.041696,0.012568,87.682,0.6844281,2335,0.006,0.51,21,21370718,181281,44776,1951,456,0,248587
Syria,22264996,0.654840225,0.022411,0.003906,14.367,0.7994607,3808,0.0794,0.89,2,929062,425916,25367,0,2226,107,20881726
Sri Lanka,21611842,0.748958465,0.01617,0.007295,7.778,0.9066652,4595,0.0239,0.82,1,1920668,105613,16751,14876355,2819762,86,1847011
Romania,21579201,0.848505559,0.009953,0.012832,9.341,0.9730705,9060,0.5224,0.88,1,21264462,177195,33385,475,0,6547,90479
Cote d'Ivoire,21295284,0.590044303,0.034833,0.013136,65.115,0.499275,1648,0.0163,0.81,39,7385996,75859,2230,10648,1704,0,8715526
Niger,19268380,0.498857506,0.048779,0.009594,45.34,0.2911645,781,0.0028,0.42,8,64518,11741,206,0,0,0,18388461
Chile,17924062,0.794389408,0.013314,0.005756,4.918,0.9571913,12027,0.2524,0.95,3,15814461,1456547,427907,11363,872,21616,17033
Burkina Faso,17914625,0.549841317,0.038517,0.009886,61.082,0.2224503,1213,0.0059,0.72,16,4179785,95511,666,0,0,0,9687293
Malawi,17308685,0.551907092,0.038262,0.010456,78.194,0.6450162,667,0.0045,0.76,119,13806013,45714,294,0,37013,312,2335421
Netherlands,16844195,0.831810425,0.010628,0.008986,3.285,1,32684,0.8571,1,2,10201847,4819662,327362,203398,108700,30656,1087446
Kazakhstan,16770447,0.736425392,0.018712,0.009974,22.56,0.9951602,7857,0.0871,0.96,1,4556442,597482,112100,19286,839,6079,11430883
Mali,16258587,0.524547428,0.045628,0.011637,76.229,0.1937288,1033,0.0064,0.6,15,513751,17034,836,0,0,0,14180213
Guatemala,16255094,0.603287868,0.029201,0.004863,18.853,0.6923577,4568,0.1022,0.96,8,15826758,151861,70277,2828,0,1448,1300
Ecuador,16225691,0.707290247,0.019425,0.004917,13.957,0.9101433,4341,0.1154,0.95,3,15499232,496948,23933,17060,0,4921,2207
Cambodia,15677059,0.68960039,0.023543,0.005828,33.251,0.7412489,2727,0.0046,0.65,8,435731,355929,38922,13327582,33753,149,305502
Zambia,15519604,0.536818079,0.041363,0.008524,56.361,0.6800098,1023,0.0422,0.58,152,13265060,23890,4656,4656,21076,2008,165333
Zimbabwe,15046102,0.614702333,0.029483,0.008074,33.449,0.8941589,2038,0.0932,0.81,153,12285947,152643,23634,226,22328,14008,110217
Senegal,14967446,0.566941347,0.035285,0.007166,45.333,0.3995713,1792,0.0545,0.77,10,788334,21595,3404,2021,0,0,13601234
Chad,13605625,0.520964969,0.043488,0.012842,86.803,0.2684256,1427,0.006,0.48,35,4785419,12878,2071,2041,0,0,7643989
Rwanda,12428005,0.584870058,0.032461,0.00625,42.583,0.6546663,1206,0.0108,0.65,28,11372609,25038,34,0,621,0,594458
Guinea,12347766,0.58193555,0.034902,0.010714,67.101,0.3036013,2316,0.0052,0.7,16,463255,16955,6313,11113,0,0,10672161
South Sudan,12152321,0.585470216,0.034384,0.010526,67.546,0.6146578,2083,0.0865,0.7,14,7406086,48385,8791,275,243,0,751020
Cuba,11248783,0.844300135,0.009161,0.008218,3.922,0.9980005,6000,0.0213,0.91,1,6822983,1941494,489318,6111,23285,827,9112
Tunisia,11235248,0.768163729,0.015912,0.005829,12.544,0.7428127,8371,0.1268,0.94,1,23998,26937,3237,84,0,1891,11176674
Belgium,11183411,0.828392608,0.011491,0.010061,2.783,1,32119,0.4695,1,2,7554977,2568241,234603,26751,6710,31705,725750
Greece,11125833,0.853220339,0.009114,0.010861,3.125,0.9600249,23381,0.1838,1,2,10091164,416571,37538,5229,14686,5550,536284
Somalia,11122711,0.532910727,0.042078,0.011217,70.887,0.2494778,728,0.0111,0.29,5,4525,2999,1866,0,6229,0,11095774
Bolivia,11024522,0.658715634,0.024545,0.00687,32.891,0.8685089,2819,0.062,0.86,2,10230488,209728,15759,8197,0,4110,2205
Benin,10879828,0.578415946,0.034442,0.009055,64.319,0.3555346,1141,0.0144,0.65,12,4833018,20978,5795,0,0,0,2797667
Burundi,10812619,0.550713384,0.042126,0.011574,80.109,0.5968604,699,0.0077,0.71,20,10095696,6412,173,0,9083,0,227718
Czech Republic,10777060,0.845994362,0.010697,0.010745,2.379,0.998,20538,0.3469,1,1,5769220,4449218,528753,11411,539,7490,1369
Dominican Republic,10652135,0.704043556,0.019286,0.006077,21.837,0.8699506,8217,0.1592,0.95,11,10109664,235576,49980,1917,0,767,2343
Portugal,10610014,0.855580869,0.008046,0.010528,2.361,0.9384198,20410,0.3025,0.99,5,9601714,687924,156768,59522,23342,468,47009
Haiti,10603731,0.658265944,0.023996,0.00829,36.148,0.520987,1663,0.0751,0.58,22,9994620,286007,5196,0,0,252,2502
Hungary,9911396,0.852026496,0.009767,0.013565,4.444,0.9934261,17887,0.3475,1,1,8656047,756730,417801,4243,0,47971,23381
Sweden,9693883,0.826668632,0.012229,0.009398,2.057,1,32525,0.7697,1,1,6080487,1950032,1126138,40337,12350,17527,420300
Azerbaijan,9612580,0.777910405,0.015725,0.007228,35.378,0.9881653,5016,0.0979,0.78,2,334162,146041,11093,0,288,6867,9110775
United Arab Emirates,9577128,0.838598795,0.011122,0.001103,4.946,0.8863437,25514,0.3669,1,2,1202660,94594,14751,181919,627760,0,7332786
Belarus,9259666,0.842445073,0.010644,0.015504,5.041,0.9959154,7918,0.5647,1,2,7108223,1870893,243840,1111,0,10644,24394
Tajikistan,8610384,0.639076376,0.030327,0.006353,51.662,0.9945052,1356,0.003,0.67,3,102449,153023,38011,5565,0,1316,8294792
Austria,8557761,0.855663298,0.009737,0.009546,2.72,1,33700,0.5131,1,2,6438632,1391485,159878,10974,7189,8455,526154
Honduras,8423917,0.656989023,0.024052,0.004543,19.011,0.8000479,3430,0.0467,0.84,7,8066979,154712,17517,4751,0,440,12339
Switzerland,8238610,0.853274278,0.010835,0.008254,3.243,1,35633,0.58071,1,6,6513488,1081286,108799,26677,25446,19756,454962
Israel,7919528,0.71997561,0.018758,0.005446,2.904,0.9717452,25864,0.2774,1,1,192088,338616,39422,30886,396,5742889,1531149
Jordan,7689760,0.666402202,0.023966,0.00376,14.798,0.8999773,5530,0.1365,0.98,2,170920,191539,37811,0,0,0,7266128
Papua New Guinea,7631819,0.628209605,0.027351,0.007657,45.292,0.57312,2563,0.0183,0.4,15,7238272,45443,2039,12500,1013,901,2027
Serbia,7330276,0.841347385,0.009357,0.012692,9.772,0.9643479,3201,0.1334,0.99,1,6557147,217796,36699,0,0,2844,511370
Hong Kong,7313557,0.882884211,0.009052,0.006739,1.688,0.9223439,34833,0.5297,0.99,1,992232,1419104,176877,1113760,17991,730,97295
Togo,7170797,0.584323611,0.033818,0.009818,59.653,0.5337634,1506,0.0507,0.59,33,3367812,15679,1971,0,0,0,1316267
Bulgaria,7112641,0.859945834,0.009342,0.016099,8.14,0.9820987,9032,0.4677,0.99,0.5,5951703,206477,61910,0,0,3379,888606
Paraguay,7032942,0.682258861,0.022577,0.005846,28.345,0.9350579,4642,0.0413,0.77,6,6711061,125846,15901,16138,0,3494,4220
Laos,7019652,0.656368435,0.024626,0.005373,28.233,0.6892723,2039,0.0116,0.6,2,206751,60243,20354,3737588,5616,0,8283
Eritrea,6737634,0.569682473,0.033344,0.005844,31.973,0.5798626,1109,0.0219,0.6,13,3136398,85672,438,0,1348,0,3476105
El Salvador,6426002,0.711502891,0.019249,0.00657,14.669,0.8057194,5255,0.1,0.84,8,6190085,158305,6937,617,0,578,1805
Sierra Leone,6318575,0.591269867,0.034265,0.016202,106.775,0.3560623,806,0.0021,0.53,17,837862,93709,193,0,3241,0,4084504
Libya,6317080,0.706340429,0.018361,0.004294,11.434,0.8371187,10335,0.0436,0.98,2,170621,10618,815,20088,5685,126,6103974
Nicaragua,6256510,0.680972939,0.020861,0.004486,12.886,0.7667911,3674,0.0277,0.79,2,5948131,160760,2891,7195,0,245,1064
Kyrgyzstan,5707529,0.690695921,0.02499,0.007135,30.294,0.9871197,1927,0.1221,0.65,1,412250,393881,83315,27094,0,2016,4759312
Denmark,5661723,0.826897218,0.01146,0.010118,3.091,1,33973,0.5823,1,2,4673424,595439,85300,21413,9710,7236,257580
Singapore,5618866,0.846834931,0.009871,0.005131,1.49,0.92561,29663,0.5936,1,2,1085617,260096,8053,831893,294784,1068,842450
Finland,5460592,0.83507301,0.011153,0.010018,2.058,1,32153,0.556,1,1,4356170,947353,107093,5078,819,1300,34225
Slovakia,5457889,0.848019995,0.010468,0.010621,4.914,1,15871,0.4176,1,1,4708485,588410,157328,0,0,2456,524
Turkmenistan,5373487,0.71781601,0.020005,0.007821,43.274,0.9878091,3838,0.0132,0.72,1,71731,147801,32263,759,0,3362,5114848
Norway,5142842,0.814139342,0.012404,0.008088,2.298,1,41420,0.8168,1,1,4548804,335068,31609,36864,4886,946,166166
Lebanon,5053624,0.805547465,0.013605,0.004599,7.111,0.8798226,5584,0.2628,1,1,1727695,168167,40568,104610,8212,2881,2993053
Costa Rica,5001657,0.773315323,0.014071,0.004406,7.202,0.948617,10180,0.2761,0.98,4,4784755,146482,11994,1312,600,3106,0
Central African Republic,4803082,0.608226343,0.032463,0.0133,83.502,0.488927,1224,0.0032,0.66,63,3506605,32752,639,0,0,0,665227
Ireland,4726856,0.783795825,0.014131,0.006428,2.358,1,38505,0.3423,1,2,4366937,283392,12790,827,5010,2155,44977
Congo,4671142,0.574961755,0.035157,0.009321,56.507,0.8474923,1262,0.017,0.71,35,4205837,139726,2362,201,0,0,64932
New Zealand,4596396,0.799187015,0.01325,0.00717,3.891,1,24996,0.7877,0.97,1,2766821,1426771,62138,100685,101351,5148,52535
Palestine,4548815,0.610019313,0.02921,0.003451,17.141,0.9241484,2056,0.0715,0.89,0,71664,261276,4682,0,0,537715,3671180
Liberia,4503439,0.576942865,0.03341,0.008072,52.178,0.5205057,366,0.0003,0.64,17,1868634,71293,572,0,0,0,730857
Georgia,4304540,0.81530361,0.012151,0.011838,16.981,0.9954142,3365,0.0749,0.99,1,3669223,150956,18664,0,0,11622,452188
Croatia,4255374,0.853850919,0.009359,0.012808,4.581,0.9816091,13042,0.3698,0.99,1,3986094,121446,62562,0,0,766,84506
Oman,4157783,0.780677347,0.01691,0.002584,6.215,0.8222382,15602,0.111,0.79,2,182123,6839,291,32223,228928,0,3663768
Mauritania,4080224,0.603335258,0.032237,0.008375,67.116,0.515391,2234,0.0095,0.6,8,10069,4301,330,0,0,0,4043886
Panama,3987866,0.724202117,0.018291,0.005023,12.756,0.9190618,7605,0.1529,0.92,10,3605440,152215,22775,30491,1795,5276,28445
Bosnia-Herzegovina,3819684,0.852740436,0.009541,0.010895,6.553,0.9663841,7032,0.2428,0.99,1,1844833,102627,19664,0,0,381,1852179
Puerto Rico,3680058,0.811139933,0.01155,0.008234,5.683,0.9385566,24700,0.2515,0.9,0,3525295,102354,14309,478,3238,2552,1067
Kuwait,3583399,0.754443477,0.019164,0.002814,7.704,0.9307608,26321,0.2893,1,2,315735,24899,624,0,127999,0,3088036
Moldova,3436828,0.831485893,0.011342,0.014405,12.544,0.9836259,2100,0.1735,0.9,4,3330085,71632,14694,0,0,3941,15753
Uruguay,3429997,0.785419637,0.014051,0.009328,10.182,0.9676827,9962,0.2439,1,6,2183995,987408,226767,66,0,16807,514
Albania,3196981,0.805085798,0.01318,0.007235,12.528,0.9872029,5316,0.1498,0.97,2,1062179,83050,3256,0,0,307,2041080
Lithuania,2998969,0.845599938,0.011541,0.014059,4.952,0.996454,14494,0.3169,0.99,1,2662268,303218,21975,600,480,4304,5773
Armenia,2989467,0.797599706,0.012502,0.009082,16.902,0.9942099,4945,0.0575,0.98,1,2817633,95551,24935,299,299,521,6478
Mongolia,2923050,0.723297925,0.020429,0.006766,22.164,0.9777252,2107,0.1157,0.72,1,52564,484751,71862,1607699,0,0,145674
Jamaica,2813276,0.739761047,0.017382,0.007256,18.67,0.8008954,4291,0.4884,0.93,16,2378619,115768,1454,338,16739,557,2484
Namibia,2392370,0.649936674,0.024709,0.007109,29.099,0.8508457,7586,0.0439,0.93,153,2172873,54391,534,0,0,2756,8230
Qatar,2350549,0.864198534,0.009827,0.001405,5.767,0.8898453,27664,0.3455,1,2,220549,55404,1504,44660,59234,0,1965542
Lesotho,2120116,0.643768077,0.026244,0.014692,50.125,0.8208449,3335,0.0335,0.78,232,1953354,5239,529,0,1272,0,976
Macedonia,2109251,0.836047962,0.010296,0.010049,8.604,0.9613717,7200,0.1315,1,1,1344388,65568,7597,0,0,1002,690696
Kosovo,2093754,0.841347385,0.009357,0.012692,9.772,0.9339733,2660,0.1334,0.44,1,122596,17933,4003,0,0,0,1949222
Slovenia,2079085,0.855483061,0.009504,0.010293,2.503,0.9964969,22273,0.6362,1,1,1813254,163584,51249,0,0,208,50384
Botswana,2056370,0.669535638,0.022447,0.015405,26.859,0.8111401,12387,0.0455,0.96,239,1440279,3224,133,1147,2838,428,5633
Latvia,2031361,0.844915798,0.011192,0.016005,6.719,0.9974661,13646,0.4665,0.99,8,1550333,393529,72968,102,760,8298,5128
Gambia,1970081,0.543208122,0.040968,0.009052,51.503,0.3969104,1921,0.0529,0.86,9,90217,11177,89,0,319,0,1745242
Guinea-Bissau,1787793,0.589645446,0.035693,0.011837,86.074,0.4164656,827,0.0226,0.57,38,218053,21744,1622,0,0,0,810025
Gabon,1751199,0.617062938,0.029733,0.008315,38.138,0.8412621,6954,0.0576,0.87,59,1480161,23728,462,0,0,0,178934
Bahrain,1359726,0.784306544,0.013299,0.002399,6.101,0.8665023,21482,0.2844,1,2,177134,6730,476,2971,87697,68,1080647
Trinidad & Tobago,1346697,0.791927212,0.012904,0.010376,22.078,0.9834324,14603,0.22,0.94,15,853681,30680,573,4194,327717,629,86782
Swaziland,1285519,0.627157592,0.028151,0.014867,57.948,0.7961102,4824,0.0408,0.6,261,1135474,14961,306,0,1954,0,8385
Estonia,1280227,0.838590344,0.010861,0.013948,3.938,0.9976928,15478,0.551,1,13,568648,648391,56390,676,676,1434,3539
Mauritius,1253581,0.810766117,0.011267,0.008492,9.883,0.8438274,12715,0.2548,1,17,415830,22172,1519,3109,554201,0,211176
Timor-Leste,1172668,0.551984023,0.035795,0.005124,30.851,0.48,1033,0.0012,0.62,1,1001110,5594,0,2228,352,0,41638
